customer_id,gender,age,married,state,city,latitude,longitude,tenure_in_months,offer,phone_service,multiple_lines,internet_service,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,monthly_charge,total_charges,total_long_distance_charges,total_revenue,churn_label,churn_value
0002-ORFBO,Female,37,Yes,California,Frazier Park,34.827662,-118.999073,9,None,Yes,No,Yes,16,No,Yes,No,Yes,Yes,No,No,Yes,One Year,65.6,593.3,381.51,974.81,No,0
0003-MKNFE,Male,46,No,California,Glendale,34.162515,-118.203869,9,None,Yes,Yes,Yes,10,No,No,No,No,No,Yes,Yes,No,Month-to-Month,67.81,542.4,96.21,610.28,No,0
0004-TLHLJ,Male,50,No,California,Costa Mesa,33.645672,-117.922613,4,Offer E,Yes,No,Yes,30,No,No,Yes,No,No,No,No,Yes,Month-to-Month,73.9,280.85,134.6,415.45,Yes,1
0011-IGKFF,Male,78,Yes,California,Martinez,38.014457,-122.115432,13,Offer D,Yes,No,Yes,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,98.0,1237.85,361.66,1599.51,Yes,1
0013-EXCHZ,Female,75,Yes,California,Camarillo,34.227846,-119.079903,3,None,Yes,No,Yes,11,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,83.9,267.4,22.14,289.54,Yes,1
0013-MHZWF,Female,23,No,California,Midpines,37.581496,-119.972762,9,Offer E,Yes,No,Yes,73,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,69.4,571.45,150.93,722.38,No,0
0013-SMEOE,Female,67,Yes,California,Lompoc,34.757477,-120.550507,71,Offer A,Yes,No,Yes,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,109.7,7904.25,707.1600000000001,8611.41,No,0
0015-UOCOJ,Female,68,No,California,Simi Valley,34.296813,-118.685703,7,Offer E,Yes,No,Yes,21,Yes,No,No,No,No,No,No,Yes,Two Year,48.2,340.35,73.71,414.06,No,0
0016-QLJIS,Female,43,Yes,California,Sheridan,38.984756,-121.345074,65,None,Yes,Yes,Yes,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,90.45,5957.9,1849.9,7807.8,No,0
0017-DINOC,Male,47,No,California,Rancho Santa Fe,32.99356,-117.207121,54,None,No,No,Yes,10,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,45.2,2460.55,0.0,2460.55,No,0
